number,english_name,spanish_name,rgb,owned
70.882,Middle Stone,Amarillo Piedra,"241,137,68",false
70.880,Khaki Grey,Gris Caqui,"44,51,238",false
70.871,Leather Brown,Cuero Oscuro,"134,56,51",false
70.846,Mahogany Brown,Marrón Caoba,"126,28,109",false
70.985,Hull Red,Marrón Rojizo,"112,143,234",false
70.816,Luftwaffe Uniform,Uniforme Luftwaff,"40,58,193",false
70.866,Grey Green,Gris Verde,"88,35,141",false
70.939,Smoke Ink,Tinta Humo,"41,185,82",false
70.764,Military Yellow,Amarillo Militar,"121,16,182",false
70.872,Chocolate Brown,Marrón Chocolate,"223,144,207",false
70.822,Cam. Black Brown,Cam. Pardo Negro,"185,106,33",false
70.984,Flat Brown,Marrón Mate,"236,121,155",false
70.993,White Grey,Gris Blanco,"42,123,123",false
70.994,Dark Grey,Gris Oscuro,"22,128,20",false
70.862,Black Grey,Gris Negro,"133,207,211",false
70.923,Japan. Unif. WWII,Unif. Japonés WWII,"56,61,205",false
70.847,Dark Sand,Arena Oscura,"14,103,205",false
70.916,Sand Yellow,Amarillo Arena,"207,127,77",false
70.771,Dark Rust,Óxido Oscuro,"246,207,115",false
70.883,Silver Grey,Gris Plateado,"87,108,39",false
70.989,Sky Grey,Gris Cielo,"136,34,41",false
70.836,London Grey,Gris Londres,"201,36,207",false
70.879,Green Brown,Marrón Verde,"156,233,83",false
70.819,Iraqi Sand,Arena Iraquí,"242,231,36",false
70.977,Desert Yellow,Amarillo Desierto,"26,116,218",false
70.913,Yellow Ochre,Ocre Amarillo,"161,79,233",false
70.971,Light Green Grey,Verde Gris Pálido,"219,98,140",false
70.990,Light Grey,Gris Pálido,"204,191,109",false
70.869,Basalt Grey,Gris Basalto,"235,129,196",false
70.921,English Uniform,Uniforme Inglés,"95,129,243",false
70.767,Desert Brown,Marrón Desierto,"61,53,173",false
70.769,Mustard Brown,Marrón Mostaza,"221,135,178",false
70.877,Gold Brown,Marrón Dorado,"207,198,119",false
